,subject,task,ecg,eda,resp,video,audio,n_modalities,has_label,pattern
2ea4_Baseline,2ea4,Baseline,1,1,1,0,0,3,0,11100
2ea4_Breathing,2ea4,Breathing,1,1,1,1,0,4,1,11110
2ea4_Counting1,2ea4,Counting1,1,1,1,1,1,5,1,11111
2ea4_Counting2,2ea4,Counting2,1,1,1,1,1,5,1,11111
2ea4_Counting3,2ea4,Counting3,1,1,1,1,1,5,1,11111
2ea4_Math,2ea4,Math,1,1,1,1,1,5,1,11111
2ea4_Reading,2ea4,Reading,1,1,1,1,1,5,1,11111
2ea4_Relax,2ea4,Relax,1,1,1,1,0,4,1,11110
2ea4_Speaking,2ea4,Speaking,1,1,1,1,1,5,1,11111
2ea4_Stroop,2ea4,Stroop,1,1,1,1,1,5,1,11111
2ea4_Video1,2ea4,Video1,1,1,1,1,0,4,1,11110
2ea4_Video2,2ea4,Video2,1,1,1,1,0,4,1,11110
2hpu_Baseline,2hpu,Baseline,1,1,1,0,0,3,0,11100
2hpu_Breathing,2hpu,Breathing,1,1,1,1,0,4,1,11110
2hpu_Counting1,2hpu,Counting1,1,1,1,1,1,5,1,11111
2hpu_Counting2,2hpu,Counting2,1,1,1,1,1,5,1,11111
2hpu_Counting3,2hpu,Counting3,1,1,1,1,1,5,1,11111
2hpu_Math,2hpu,Math,1,1,1,1,1,5,1,11111
2hpu_Reading,2hpu,Reading,1,1,1,1,1,5,1,11111
2hpu_Relax,2hpu,Relax,1,1,1,1,0,4,1,11110
2hpu_Speaking,2hpu,Speaking,1,1,1,1,1,5,1,11111
2hpu_Stroop,2hpu,Stroop,1,1,1,1,1,5,1,11111
2hpu_Video1,2hpu,Video1,1,1,1,1,0,4,1,11110
2hpu_Video2,2hpu,Video2,1,1,1,1,0,4,1,11110
2z7d_Baseline,2z7d,Baseline,1,1,1,0,0,3,0,11100
2z7d_Breathing,2z7d,Breathing,1,1,1,1,0,4,1,11110
2z7d_Counting1,2z7d,Counting1,1,1,1,1,1,5,1,11111
2z7d_Counting2,2z7d,Counting2,1,1,1,1,1,5,1,11111
2z7d_Counting3,2z7d,Counting3,1,1,1,1,1,5,1,11111
2z7d_Math,2z7d,Math,1,1,1,1,1,5,1,11111
2z7d_Reading,2z7d,Reading,1,1,1,1,1,5,1,11111
2z7d_Relax,2z7d,Relax,1,1,1,1,0,4,1,11110
2z7d_Speaking,2z7d,Speaking,1,1,1,1,1,5,1,11111
2z7d_Stroop,2z7d,Stroop,1,1,1,1,1,5,1,11111
2z7d_Video1,2z7d,Video1,1,1,1,1,0,4,1,11110
2z7d_Video2,2z7d,Video2,1,1,1,1,0,4,1,11110
37ir_Baseline,37ir,Baseline,1,1,1,0,0,3,0,11100
37ir_Breathing,37ir,Breathing,1,1,1,0,0,3,1,11100
37ir_Counting1,37ir,Counting1,1,1,1,0,0,3,1,11100
37ir_Counting2,37ir,Counting2,1,1,1,0,0,3,1,11100
37ir_Counting3,37ir,Counting3,1,1,1,0,0,3,1,11100
37ir_Math,37ir,Math,1,1,1,0,0,3,1,11100
37ir_Reading,37ir,Reading,1,1,1,0,0,3,1,11100
37ir_Relax,37ir,Relax,1,1,1,0,0,3,1,11100
37ir_Speaking,37ir,Speaking,1,1,1,0,0,3,1,11100
37ir_Stroop,37ir,Stroop,1,1,1,0,0,3,1,11100
37ir_Video1,37ir,Video1,1,1,1,0,0,3,1,11100
37ir_Video2,37ir,Video2,1,1,1,0,0,3,1,11100
45lx_Baseline,45lx,Baseline,1,1,1,0,0,3,0,11100
45lx_Breathing,45lx,Breathing,1,1,1,1,0,4,1,11110
45lx_Counting1,45lx,Counting1,1,1,1,1,1,5,1,11111
45lx_Counting2,45lx,Counting2,1,1,1,1,1,5,1,11111
45lx_Counting3,45lx,Counting3,1,1,1,1,1,5,1,11111
45lx_Math,45lx,Math,1,1,1,1,1,5,1,11111
45lx_Reading,45lx,Reading,1,1,1,1,1,5,1,11111
45lx_Relax,45lx,Relax,1,1,1,1,0,4,1,11110
45lx_Speaking,45lx,Speaking,1,1,1,1,1,5,1,11111
45lx_Stroop,45lx,Stroop,1,1,1,1,1,5,1,11111
45lx_Video1,45lx,Video1,1,1,1,1,0,4,1,11110
45lx_Video2,45lx,Video2,1,1,1,1,0,4,1,11110
4e8r_Baseline,4e8r,Baseline,1,1,1,0,0,3,0,11100
4e8r_Breathing,4e8r,Breathing,1,1,1,1,0,4,1,11110
4e8r_Counting1,4e8r,Counting1,1,1,1,1,1,5,1,11111
4e8r_Counting2,4e8r,Counting2,1,1,1,1,1,5,1,11111
4e8r_Counting3,4e8r,Counting3,1,1,1,1,1,5,1,11111
