split,mode,classifier,f1-score,accuracy,time,modality
0,random,RandomForestClassifier,0.763090175872593,0.765360277607675,0.4439768329029903,ecg
0,random,KNeighborsClassifier,0.6563016619446796,0.6578893651765667,0.2374329169979319,ecg
0,random,SVC,0.726901098901099,0.7297407634211064,0.23175808310043067,ecg
0,random,MLPClassifier,0.7186329649970224,0.722902633190447,0.2877020000014454,ecg
1,random,RandomForestClassifier,0.6956709956709957,0.7055816806379063,0.39505279099103063,ecg
1,random,KNeighborsClassifier,0.6564425770308123,0.6595788182375792,0.23865370906423777,ecg
1,random,SVC,0.6966694078947367,0.7049683091392354,0.4364599169930443,ecg
1,random,MLPClassifier,0.6811791383219955,0.691269679002249,0.2914667499717325,ecg
2,random,RandomForestClassifier,0.7437630774183165,0.7342845326716294,0.32324416702613235,ecg
2,random,KNeighborsClassifier,0.6489630438172462,0.6428866832092639,0.17813541693612933,ecg
2,random,SVC,0.7129861009284054,0.7036807278742763,0.36734604102093726,ecg
2,random,MLPClassifier,0.7277047624192565,0.7181555004135649,0.2513656249502674,ecg
3,random,RandomForestClassifier,0.7528535383876006,0.7487179487179487,0.33811750006861985,ecg
3,random,KNeighborsClassifier,0.6410847217298831,0.637948717948718,0.20426479203160852,ecg
3,random,SVC,0.7315707469081703,0.7276923076923076,0.21342216595076025,ecg
3,random,MLPClassifier,0.6756302521008404,0.6738461538461538,0.3381432919995859,ecg
4,random,RandomForestClassifier,0.7475790999948216,0.746166428133306,0.35207658307626843,ecg
4,random,KNeighborsClassifier,0.6715627095908786,0.6720507053772234,0.2009340840158984,ecg
4,random,SVC,0.7178521307166248,0.7169290533633204,0.22363087499979883,ecg
4,random,MLPClassifier,0.6944758317639673,0.6945409936618279,0.3034884579246864,ecg
5,random,RandomForestClassifier,0.7701092558235416,0.7685544878347986,0.3686287079472095,ecg
5,random,KNeighborsClassifier,0.7067377573499813,0.7056839092210182,0.20427062502130866,ecg
5,random,SVC,0.7423296703296703,0.741157227560826,0.19954541698098183,ecg
5,random,MLPClassifier,0.728014652014652,0.7268452259251686,0.2615577500546351,ecg
6,random,RandomForestClassifier,0.6418359010270774,0.6482051282051282,0.47740241698920727,ecg
6,random,KNeighborsClassifier,0.5920466394918948,0.5974358974358974,0.2287091250764206,ecg
6,random,SVC,0.6343185550082101,0.6415384615384616,0.18810374999884516,ecg
6,random,MLPClassifier,0.6498035614061942,0.6538461538461539,0.3002620830666274,ecg
7,random,RandomForestClassifier,0.7428571428571429,0.7526881720430108,0.34887191699817777,ecg
7,random,KNeighborsClassifier,0.6005715452133088,0.6062861869313483,0.20999908400699496,ecg
7,random,SVC,0.7004286589099816,0.707609594706369,0.20275391591712832,ecg
7,random,MLPClassifier,0.7289592628233167,0.7365591397849462,0.2756447501014918,ecg
8,random,RandomForestClassifier,0.7424897209343014,0.7495888157894737,0.27981841599103063,ecg
8,random,KNeighborsClassifier,0.7207887003507442,0.7286184210526316,0.13841929205227643,ecg
8,random,SVC,0.7420168067226891,0.7508223684210527,0.13905662496108562,ecg
8,random,MLPClassifier,0.6852652144752573,0.6920230263157895,0.26206137507688254,ecg
9,random,RandomForestClassifier,0.7467807747337184,0.7373936501348828,0.34281399997416884,ecg
9,random,KNeighborsClassifier,0.6639541704721807,0.6577090682714256,0.22711079195141792,ecg
9,random,SVC,0.754473533230667,0.7455903714463581,0.17871100001502782,ecg
9,random,MLPClassifier,0.7432825239276852,0.740402573147956,0.28037916601169854,ecg
0,groupshuffle,RandomForestClassifier,0.6783771284422956,0.6888341543513957,0.31215879204683006,ecg
0,groupshuffle,KNeighborsClassifier,0.6213792582774791,0.6358784893267653,0.1701972089940682,ecg
0,groupshuffle,SVC,0.6685708657539643,0.6935550082101807,0.17770325008314103,ecg
0,groupshuffle,MLPClassifier,0.6432197960319711,0.6537356321839081,0.263787959003821,ecg
1,groupshuffle,RandomForestClassifier,0.5848624324563734,0.5786290322580645,0.36301466601435095,ecg
1,groupshuffle,KNeighborsClassifier,0.5151811616981088,0.5088709677419355,0.20398516696877778,ecg
