modality,classifier,f1_leaky,f1_clean,f1_drop,acc_leaky,acc_clean,acc_drop
ecg,RandomForestClassifier,0.735,0.655,0.079,0.736,0.668,0.067
ecg,KNeighborsClassifier,0.656,0.569,0.086,0.657,0.584,0.072
ecg,SVC,0.716,0.664,0.052,0.717,0.677,0.04
ecg,MLPClassifier,0.703,0.646,0.057,0.705,0.658,0.047
eda,RandomForestClassifier,0.665,0.632,0.032,0.668,0.649,0.019
eda,KNeighborsClassifier,0.623,0.588,0.035,0.622,0.593,0.029
eda,SVC,0.68,0.628,0.052,0.681,0.641,0.04
eda,MLPClassifier,0.657,0.608,0.049,0.659,0.62,0.039
resp,RandomForestClassifier,0.71,0.679,0.031,0.712,0.69,0.022
resp,KNeighborsClassifier,0.611,0.59,0.02,0.614,0.595,0.019
resp,SVC,0.713,0.686,0.027,0.715,0.696,0.018
resp,MLPClassifier,0.708,0.676,0.032,0.71,0.688,0.022
physio_all,RandomForestClassifier,0.725,0.68,0.045,0.726,0.694,0.032
physio_all,KNeighborsClassifier,0.659,0.618,0.041,0.658,0.62,0.038
physio_all,SVC,0.725,0.679,0.046,0.724,0.69,0.034
physio_all,MLPClassifier,0.681,0.64,0.041,0.68,0.646,0.034
video,RandomForestClassifier,0.674,0.6,0.074,0.675,0.605,0.069
video,KNeighborsClassifier,0.687,0.539,0.148,0.685,0.548,0.137
video,SVC,0.676,0.575,0.101,0.676,0.583,0.093
video,MLPClassifier,0.665,0.597,0.068,0.663,0.6,0.063
audio,RandomForestClassifier,0.657,0.535,0.122,0.545,0.495,0.05
audio,KNeighborsClassifier,0.695,0.574,0.122,0.61,0.503,0.107
audio,SVC,0.65,0.526,0.123,0.54,0.489,0.051
audio,MLPClassifier,0.686,0.635,0.051,0.6,0.585,0.015
