subject/task,ecg,eda,resp,video,audio
2ea4_Breathing,True,True,True,True,False
2ea4_Counting1,True,True,True,True,True
2ea4_Counting2,True,True,True,True,True
2ea4_Counting3,True,True,True,True,True
2ea4_Math,True,True,True,True,True
2ea4_Reading,True,True,True,True,True
2ea4_Relax,True,True,True,True,False
2ea4_Speaking,True,True,True,True,True
2ea4_Stroop,True,True,True,True,True
2ea4_Video1,True,True,True,True,False
2ea4_Video2,True,True,True,True,False
2hpu_Breathing,True,True,True,True,False
2hpu_Counting1,True,True,True,True,True
2hpu_Counting2,True,True,True,True,True
2hpu_Counting3,True,True,True,True,True
2hpu_Math,True,True,True,True,True
2hpu_Reading,True,True,True,True,True
2hpu_Relax,True,True,True,True,False
2hpu_Speaking,True,True,True,True,True
2hpu_Stroop,True,True,True,True,True
2hpu_Video1,True,True,True,True,False
2hpu_Video2,True,True,True,True,False
2z7d_Breathing,True,True,True,True,False
2z7d_Counting1,True,True,True,True,True
2z7d_Counting2,True,True,True,True,True
2z7d_Counting3,True,True,True,True,True
2z7d_Math,True,True,True,True,True
2z7d_Reading,True,True,True,True,True
2z7d_Relax,True,True,True,True,False
2z7d_Speaking,True,True,True,True,True
2z7d_Stroop,True,True,True,True,True
2z7d_Video1,True,True,True,True,False
2z7d_Video2,True,True,True,True,False
37ir_Breathing,True,True,True,False,False
37ir_Counting1,True,True,True,False,False
37ir_Counting2,True,True,True,False,False
37ir_Counting3,True,True,True,False,False
37ir_Math,True,True,True,False,False
37ir_Reading,True,True,True,False,False
37ir_Relax,True,True,True,False,False
37ir_Speaking,True,True,True,False,False
37ir_Stroop,True,True,True,False,False
37ir_Video1,True,True,True,False,False
37ir_Video2,True,True,True,False,False
45lx_Breathing,True,True,True,True,False
45lx_Counting1,True,True,True,True,True
45lx_Counting2,True,True,True,True,True
45lx_Counting3,True,True,True,True,True
45lx_Math,True,True,True,True,True
45lx_Reading,True,True,True,True,True
45lx_Relax,True,True,True,True,False
45lx_Speaking,True,True,True,True,True
45lx_Stroop,True,True,True,True,True
45lx_Video1,True,True,True,True,False
45lx_Video2,True,True,True,True,False
4e8r_Breathing,True,True,True,True,False
4e8r_Counting1,True,True,True,True,True
4e8r_Counting2,True,True,True,True,True
4e8r_Counting3,True,True,True,True,True
4e8r_Math,True,True,True,True,True
4e8r_Reading,True,True,True,True,True
4e8r_Relax,True,True,True,True,False
4e8r_Speaking,True,True,True,True,True
4e8r_Stroop,True,True,True,True,True
4e8r_Video1,True,True,True,True,False
4e8r_Video2,True,True,True,True,False
4woj_Breathing,True,True,True,True,False
4woj_Counting1,True,True,True,True,True
4woj_Counting2,True,True,True,True,True
4woj_Counting3,True,True,True,True,True
4woj_Math,True,True,True,True,True
4woj_Reading,True,True,True,True,True
