seed,ecg,eda,resp
0,-0.020182973800034257,-0.002174434793128539,-0.0258731602214246
1,-0.012139436298804372,-0.004227401873821235,-0.0282857225352678
2,-0.0134939355281735,-0.0071641344299089625,-0.02374132200443932
3,-0.0040768860345192495,-0.001816492707656246,-0.03596388881268363
4,-0.012990066056343268,-0.009178753084545466,-0.024701321351716654
5,-0.014967558419304097,-0.0005223423474500286,-0.027187503298279056
6,-0.01690241222787111,-0.0023588480325070294,-0.026066659840521297
7,-0.015474811214268138,-0.007548108924698879,-0.028420514666195638
8,-0.01165185258904602,-0.0028152168589508286,-0.024401385916386256
9,-0.01460908573914428,0.005888430727524036,-0.024663717504721558
