task,ecg,eda,resp,video,audio
Breathing,0.0267,0.0106,-0.0196,0.0042,0.0
Counting1,0.1215,-0.0617,0.0707,0.1003,-0.0071
Counting2,0.0903,-0.0602,0.0975,0.1078,0.0146
Counting3,0.131,-0.0104,0.0581,-0.0082,0.0041
Math,0.0885,-0.0173,0.0644,0.0516,-0.017
Reading,0.0932,-0.0178,-0.0205,0.0326,0.0017
Relax,0.0298,0.0143,0.0784,-0.0198,0.0
Speaking,0.0379,-0.0217,0.0889,0.0392,-0.0158
Stroop,0.0723,-0.0337,0.0975,0.0589,0.0218
Video1,-0.0337,0.0199,-0.0449,0.0126,0.0
Video2,0.0009,-0.0324,-0.0323,0.0913,0.0
